country,director,genre,name,score,star,writer,success
USA,Joe Dante,Comedy,Matinee,6.8,John Goodman,Jerico,Average
USA,Woody Allen,Comedy,Manhattan Murder Mystery,7.4,Woody Allen,Woody Allen,Hit
USA,Ron Underwood,Comedy,Heart and Souls,6.9,Robert Downey Jr.,Gregory Hansen,Average
USA,Richard Benjamin,Comedy,Made in America,4.9,Whoopi Goldberg,Marcia Brandwynne,Flop
USA,Stephen Sommers,Adventure,The Adventures of Huck Finn,6.2,Elijah Wood,Mark Twain,Average
USA,Tom Holland,Drama,The Temp,5.1,Timothy Hutton,Kevin Falls,Flop
USA,John McNaughton,Comedy,Mad Dog and Glory,6.2,Robert De Niro,Richard Price,Average
USA,Allison Anders,Crime,Mi vida loca,6.5,Angel Aviles,Allison Anders,Average
USA,Bruce Joel Rubin,Drama,My Life,6.8,Michael Keaton,Bruce Joel Rubin,Average
USA,Sheldon Lettich,Action,Only the Strong,6.7,Mark Dacascos,Sheldon Lettich,Average
USA,Bob Balaban,Comedy,My Boyfriend's Back,5.4,Andrew Lowery,Dean Lorey,Flop
USA,Gus Van Sant,Comedy,Even Cowgirls Get the Blues,4.3,Uma Thurman,Tom Robbins,Flop
USA,Robert Klane,Adventure,Weekend at Bernie's II,4.6,Andrew McCarthy,Robert Klane,Flop
USA,Carl Reiner,Comedy,Fatal Instinct,5.7,Armand Assante,David O'Malley,Flop
USA,James Lapine,Comedy,Life with Mikey,5.5,Michael J. Fox,Marc Lawrence,Flop
USA,Herbert Ross,Comedy,Undercover Blues,6,Kathleen Turner,Ian Abrams,Average
USA,Robert Townsend,Action,The Meteor Man,5,Robert Townsend,Robert Townsend,Flop
USA,Henry Winkler,Comedy,Cop & Â½,3.9,Burt Reynolds,Arne Olsen,Flop
USA,Anthony Hickox,Fantasy,Warlock: The Armageddon,5.3,Julian Sands,David Twohy,Flop
USA,Steven Soderbergh,Drama,King of the Hill,7.6,Jesse Bradford,A.E. Hotchner,Hit
USA,Michael Gottlieb,Action,Mr. Nanny,3.6,Hulk Hogan,Edward Rugoff,Flop
USA,Stephen Gyllenhaal,Drama,A Dangerous Woman,5.9,Debra Winger,Mary McGarry Morris,Flop
USA,Robert Radler,Action,Best of the Best II,5.4,Eric Roberts,Max Strom,Flop
USA,Mikael Salomon,Adventure,A Far Off Place,6.6,Reese Witherspoon,Laurens van der Post,Average
USA,Billy Weber,Adventure,Josh and S.A.M.,5.8,Jacob Tierney,Frank Deese,Flop
USA,Mike Figgis,Drama,Mr. Jones,5.8,Richard Gere,Eric Roth,Flop
USA,Christopher Coppola,Crime,Deadfall,3.7,Michael Biehn,Christopher Coppola,Flop
USA,Michael Apted,Crime,Blink,6.2,Madeleine Stowe,Dana Stevens,Average
USA,Leon Ichaso,Drama,Sugar Hill,5.9,Wesley Snipes,Barry Michael Cooper,Flop
USA,John Lafia,Comedy,Man's Best Friend,5.1,Ally Sheedy,John Lafia,Flop
USA,John Badham,Action,Another Stakeout,5.5,Richard Dreyfuss,Jim Kouf,Flop
USA,Adam Simon,Horror,Carnosaur,3.5,Diane Ladd,John Brosnan,Flop
USA,Patrick Hasburgh,Drama,Aspen Extreme,5.8,Paul Gross,Patrick Hasburgh,Flop
USA,Rachel Talalay,Horror,Ghost in the Machine,4.4,Karen Allen,William Davies,Flop
USA,Tony Bill,Biography,A Home of Our Own,7.1,Kathy Bates,Patrick Sheane Duncan,Hit
USA,Darrell Roodt,Comedy,Father Hood,4.8,Patrick Swayze,Scott Spencer,Flop
USA,Emile Ardolino,Family,The Nutcracker,5.8,Darci Kistler,Susan Cooper,Flop
USA,RamÃ³n MenÃ©ndez,Comedy,Money for Nothing,5.7,John Cusack,Mark Bowden,Flop
USA,Yves Simoneau,Drama,Mother's Boys,5.4,Jamie Lee Curtis,Bernard Taylor,Flop
USA,E. Max Frye,Comedy,Amos & Andrew,5.6,Nicolas Cage,E. Max Frye,Flop
USA,Sidney Lumet,Crime,Guilty as Sin,5.6,Rebecca De Mornay,Larry Cohen,Flop
USA,Russell Mulcahy,Crime,The Real McCoy,5.5,Kim Basinger,Desmond Lowden,Flop
USA,Anthony Minghella,Comedy,Mr. Wonderful,5.9,Matt Dillon,Amy Schor Ferris,Flop
USA,Daniel Algrant,Comedy,Naked in New York,5.7,Eric Stoltz,Daniel Algrant,Flop
USA,Marshall Herskovitz,Drama,Jack the Bear,6.5,Danny DeVito,Dan McCall,Average
USA,James B. Harris,Action,Boiling Point,4.9,Wesley Snipes,Gerald Petievich,Flop
USA,Martha Coolidge,Comedy,Lost in Yonkers,6.7,Richard Dreyfuss,Neil Simon,Average
USA,Rusty Cundieff,Comedy,Fear of a Black Hat,7.2,Larry B. Scott,Rusty Cundieff,Hit
USA,Maggie Greenwald,Drama,The Ballad of Little Jo,6.8,Suzy Amis,Maggie Greenwald,Average
USA,Ted Demme,Comedy,Who's the Man?,5.5,Ed Lover,Doctor DrÃ©,Flop
USA,Luis Mandoki,Comedy,Born Yesterday,5.1,Melanie Griffith,Garson Kanin,Flop
USA,Deran Sarafian,Action,Gunmen,5.2,Christopher Lambert,Stephen Sommers,Flop
USA,Randa Haines,Drama,Wrestling Ernest Hemingway,7.1,Robert Duvall,Steve Conrad,Hit
USA,Gregg Araki,Comedy,Totally F***ed Up,6.1,James Duval,Gregg Araki,Average
USA,Glenn Gordon Caron,Comedy,Wilder Napalm,5.5,Debra Winger,Vince Gilligan,Flop
USA,John Whitesell,Drama,Calendar Girl,5,Jason Priestley,Paul W. Shapiro,Flop
USA,Michael Steinberg,Drama,"Bodies, Rest & Motion",5.6,Phoebe Cates,Roger Hedden,Flop
USA,Kevin Tenney,Horror,Witchboard 2,5,Ami Dolenz,Kevin Tenney,Flop
USA,Haile Gerima,Drama,Sankofa,7.1,Kofi Ghanaba,Haile Gerima,Hit
USA,Alan Spencer,Comedy,Hexed,5.5,Arye Gross,Alan Spencer,Flop
USA,Steven Hilliard Stern,Drama,Morning Glory,6.6,Christopher Reeve,Charles Jarrott,Average
USA,Yurek Bogayevicz,Comedy,Three of Hearts,5.5,William Baldwin,Adam Greenman,Flop
USA,Tom Flynn,Comedy,Watch It,6.4,Peter Gallagher,Tom Flynn,Average
USA,Stephen Cornwell,Action,Philadelphia Experiment II,4.5,Brad Johnson,Wallace C. Bennett,Flop
USA,Tim Hunter,Drama,The Saint of Fort Washington,7.2,Danny Glover,Lyle Kessler,Hit
USA,Victor Nunez,Drama,Ruby in Paradise,7.1,Ashley Judd,Jane Austen,Hit
USA,Frank Darabont,Crime,The Shawshank Redemption,9.3,Tim Robbins,Stephen King,Hit
USA,Quentin Tarantino,Crime,Pulp Fiction,8.9,John Travolta,Quentin Tarantino,Hit
USA,Robert Zemeckis,Comedy,Forrest Gump,8.8,Tom Hanks,Winston Groom,Hit
USA,Roger Allers,Animation,The Lion King,8.5,Matthew Broderick,Irene Mecchi,Hit
USA,Neil Jordan,Drama,Interview with the Vampire: The Vampire Chronicles,7.6,Brad Pitt,Anne Rice,Hit
USA,Jan de Bont,Action,Speed,7.2,Keanu Reeves,Graham Yost,Hit
USA,Penelope Spheeris,Comedy,The Little Rascals,6.3,Travis Tedford,Penelope Spheeris,Average
USA,Chuck Russell,Comedy,The Mask,6.9,Jim Carrey,Michael Fallon,Average
USA,Peter Farrelly,Comedy,Dumb and Dumber,7.3,Jim Carrey,Peter Farrelly,Hit
USA,Oliver Stone,Crime,Natural Born Killers,7.3,Woody Harrelson,Quentin Tarantino,Hit
USA,Edward Zwick,Drama,Legends of the Fall,7.5,Brad Pitt,Susan Shilliday,Hit
USA,James Cameron,Action,True Lies,7.2,Arnold Schwarzenegger,Claude Zidi,Hit
USA,Alex Proyas,Action,The Crow,7.6,Brandon Lee,James O'Barr,Hit
USA,Tom Shadyac,Comedy,Ace Ventura: Pet Detective,6.9,Jim Carrey,Jack Bernstein,Average
USA,Lawrence Kasdan,Adventure,Wyatt Earp,6.7,Kevin Costner,Dan Gordon,Average
USA,Brian Levant,Comedy,The Flintstones,4.8,John Goodman,Tom S. Parker,Flop
USA,Sam Weisman,Comedy,D2: The Mighty Ducks,6,Emilio Estevez,Steven Brill,Average
USA,Ben Stiller,Comedy,Reality Bites,6.6,Winona Ryder,Helen Childress,Average
USA,David Carson,Action,Star Trek: Generations,6.6,Patrick Stewart,Gene Roddenberry,Average
USA,Tim Burton,Biography,Ed Wood,7.9,Johnny Depp,Rudolph Grey,Hit
USA,Wes Craven,Fantasy,New Nightmare,6.4,Heather Langenkamp,Wes Craven,Average
USA,Kevin Smith,Comedy,Clerks,7.8,Brian O'Halloran,Kevin Smith,Hit
USA,Kenneth Branagh,Drama,Mary Shelley's Frankenstein,6.4,Robert De Niro,Mary Shelley,Average
USA,Phillip Noyce,Action,Clear and Present Danger,6.9,Harrison Ford,Tom Clancy,Average
USA,Gillian Armstrong,Drama,Little Women,7.3,Susan Sarandon,Louisa May Alcott,Hit
USA,Donald Petrie,Comedy,RiÂ¢hie RiÂ¢h,5.3,Macaulay Culkin,Neil Tolkin,Flop
USA,Kim Henkel,Comedy,Texas Chainsaw Massacre: The Next Generation,3.2,RenÃ©e Zellweger,Kim Henkel,Flop
USA,Patrick Read Johnson,Adventure,Baby's Day Out,6,Lara Flynn Boyle,John Hughes,Average
USA,Duwayne Dunham,Comedy,Little Giants,6.3,Rick Moranis,James Ferguson,Average
USA,Michael Lehmann,Comedy,Airheads,6.1,Brendan Fraser,Rich Wilkes,Average
USA,John Carpenter,Fantasy,In the Mouth of Madness,7.2,Sam Neill,Michael De Luca,Hit
USA,Michael Apted,Drama,Nell,6.5,Jodie Foster,Mark Handley,Average
USA,Joel Schumacher,Crime,The Client,6.7,Susan Sarandon,John Grisham,Average
USA,Richard Donner,Action,Maverick,7,Mel Gibson,Roy Huggins,Hit
USA,John Pasquin,Comedy,The Santa Clause,6.4,Tim Allen,Leo Benvenuti,Average
USA,William Friedkin,Drama,Blue Chips,6.1,Nick Nolte,Ron Shelton,Average
USA,Rupert Wainwright,Comedy,Blank Check,5.2,Brian Bonsall,Blake Snyder,Flop
USA,Penny Marshall,Comedy,Renaissance Man,6.1,Danny DeVito,Jim Burnstein,Average
USA,Stephen Sommers,Adventure,El Libro de la Selva,6,Jason Scott Lee,Rudyard Kipling,Average
USA,William Dear,Comedy,Angels in the Outfield,6.1,Danny Glover,Dorothy Kingsley,Average
USA,John Landis,Action,Beverly Hills Cop III,5.5,Eddie Murphy,Danilo Bach,Flop
USA,Robert Redford,Biography,Quiz Show,7.5,Ralph Fiennes,Paul Attanasio,Hit
USA,Barry Levinson,Drama,Disclosure,6,Michael Douglas,Michael Crichton,Average
USA,Jessie Nelson,Comedy,"Corrina, Corrina",6.5,Ray Liotta,Jessie Nelson,Average
USA,Mike Nichols,Drama,Wolf,6.2,Jack Nicholson,Jim Harrison,Average
USA,Peter Segal,Comedy,Naked Gun 33 1/3: The Final Insult,6.5,Leslie Nielsen,Pat Proft,Average
USA,Jonathan Kaplan,Romance,Bad Girls,5.1,Madeleine Stowe,Albert S. Ruddy,Flop
USA,Pixote Hunt,Animation,The Pagemaster,6,Macaulay Culkin,David Kirschner,Average
USA,Richard Rush,Mystery,Color of Night,5.1,Bruce Willis,Billy Ray,Flop
USA,Curtis Hanson,Action,The River Wild,6.3,Meryl Streep,Denis O'Neill,Average
USA,Hart Bochner,Comedy,PCU,6.6,Jeremy Piven,Adam Leff,Average
USA,Jeremy Leven,Comedy,Don Juan DeMarco,6.7,Johnny Depp,Lord Byron,Average
USA,Jonathan Prince,Adventure,Camp Nowhere,5.9,Jonathan Jackson,Andrew Kurtzman,Flop
USA,Ivan Reitman,Comedy,Junior,4.6,Arnold Schwarzenegger,Kevin Wade,Flop
USA,Norman Jewison,Comedy,Only You,6.5,Marisa Tomei,Diane Drake,Average
USA,Howard Zieff,Comedy,My Girl 2,5.2,Dan Aykroyd,Laurice Elehwany,Flop
USA,Richard Rich,Animation,The Swan Princess,6.4,Jack Palance,Richard Rich,Average
USA,David S. Ward,Comedy,Major League II,5.5,Charlie Sheen,David S. Ward,Flop
USA,Jeff Pollack,Crime,Above the Rim,6.6,Duane Martin,Jeff Pollack,Average
USA,Roger Donaldson,Action,The Getaway,5.7,Alec Baldwin,Jim Thompson,Flop
USA,Andrew Bergman,Comedy,It Could Happen to You,6.3,Nicolas Cage,Jane Anderson,Average
USA,Robert Altman,Comedy,Ready to Wear,5,Sophia Loren,Robert Altman,Flop
USA,Luis Mandoki,Drama,When a Man Loves a Woman,6.5,Meg Ryan,Ronald Bass,Average
USA,Steven Seagal,Action,On Deadly Ground,4.4,Steven Seagal,Ed Horowitz,Flop
USA,Garry Marshall,Comedy,Exit to Eden,4.1,Dana Delany,Anne Rice,Flop
USA,Andrew Fleming,Comedy,Threesome,6.2,Lara Flynn Boyle,Andrew Fleming,Average
USA,Ernest R. Dickerson,Action,Surviving the Game,6.1,Rutger Hauer,Eric Bernt,Average
USA,Spike Lee,Comedy,Crooklyn,6.9,Alfre Woodard,CinquÃ© Lee,Average
USA,Tony Richardson,Drama,Blue Sky,6.4,Jessica Lange,Rama Laurie Stagner,Average
USA,Christopher Cain,Action,The Next Karate Kid,4.3,Pat Morita,Robert Mark Kamen,Flop
USA,Stephen Hopkins,Action,Blown Away,6.2,Jeff Bridges,John Rice,Average
USA,Stuart Orme,Horror,The Puppet Masters,5.9,Donald Sutherland,Robert A. Heinlein,Flop
USA,Les Mayfield,Family,Miracle on 34th Street,6.4,Richard Attenborough,Valentine Davies,Average
USA,Russell Mulcahy,Action,The Shadow,6,Alec Baldwin,Walter B. Gibson,Average
USA,Dennis Hopper,Comedy,Chasers,5,Tom Berenger,Joe Batteer,Flop
USA,Woody Allen,Comedy,Bullets Over Broadway,7.5,John Cusack,Woody Allen,Hit
USA,Daniel Petrie Jr.,Comedy,In the Army Now,4.8,Pauly Shore,Steve Zacharias,Flop
USA,John Waters,Comedy,Serial Mom,6.7,Kathleen Turner,John Waters,Average
USA,Caroline Thompson,Adventure,Black Beauty,6.6,Sean Bean,Anna Sewell,Average
USA,Alek Keshishian,Comedy,With Honors,6.7,Joe Pesci,William Mastrosimone,Average
USA,Rob Reiner,Adventure,North,4.4,Elijah Wood,Alan Zweibel,Flop
USA,Martin Campbell,Action,No Escape,6.1,Ray Liotta,Richard Herley,Average
USA,Jon Avnet,Drama,The War,6.7,Elijah Wood,Kathy McWorter,Average
USA,Robert Benton,Comedy,Nobody's Fool,7.4,Paul Newman,Richard Russo,Hit
USA,Adam Bernstein,Comedy,It's Pat: The Movie,2.6,Julia Sweeney,Julia Sweeney,Flop
USA,Boaz Yakin,Crime,Fresh,7.6,Sean Nelson,Boaz Yakin,Hit
USA,Richard Benjamin,Comedy,Milk Money,5.5,Melanie Griffith,John Mattson,Flop
USA,George Miller,Adventure,Andre,5.7,Tina Majorino,Harry Goodridge,Flop
USA,Alan Parker,Comedy,The Road to Wellville,5.8,Anthony Hopkins,T. Coraghessan Boyle,Flop
USA,Ted Demme,Comedy,The Ref,6.9,Denis Leary,Marie Weiss,Average
USA,John G. Avildsen,Biography,8 Seconds,6.5,Luke Perry,Monte Merrick,Average
USA,Adam Rifkin,Action,The Chase,5.8,Charlie Sheen,Adam Rifkin,Flop
USA,Alan Metter,Comedy,Police Academy: Mission to Moscow,3.3,G.W. Bailey,Neal Israel,Flop
USA,Keenen Ivory Wayans,Action,A Low Down Dirty Shame,5.9,Keenen Ivory Wayans,Keenen Ivory Wayans,Flop
USA,James Yukich,Action,Double Dragon,3.7,Robert Patrick,Paul Dini,Flop
USA,David O. Russell,Comedy,Spanking the Monkey,6.3,Jeremy Davies,David O. Russell,Average
USA,Paul Weiland,Comedy,City Slickers II: The Legend of Curly's Gold,5.5,Billy Crystal,Lowell Ganz,Flop
USA,Fred Schepisi,Comedy,I.Q.,6.2,Tim Robbins,Andy Breckman,Average
USA,Paul Flaherty,Comedy,Clifford,5.3,Martin Short,William Porter,Flop
USA,Gregg Champion,Action,The Cowboy Way,5.8,Woody Harrelson,Robert C. Thompson,Flop
USA,Jonathan Lynn,Comedy,Greedy,6.2,Michael J. Fox,Lowell Ganz,Average
USA,Andrew Scheinman,Comedy,Little Big League,6.1,Luke Edwards,Gregory K. Pincus,Average
USA,Charles T. Kanganis,Family,3 Ninjas Kick Back,4.4,Victor Wong,Sang-ok Shin,Flop
USA,Nora Ephron,Comedy,Mixed Nuts,5.4,Steve Martin,Nora Ephron,Flop
USA,George Huang,Comedy,Swimming with Sharks,7.1,Kevin Spacey,George Huang,Hit
USA,John Badham,Action,Drop Zone,5.6,Wesley Snipes,Tony Griffin,Flop
USA,Allan A. Goldstein,Action,Death Wish V: The Face of Death,4.7,Charles Bronson,Brian Garfield,Flop
USA,Doug McHenry,Crime,Jason's Lyric,6.6,Allen Payne,Bobby Smith Jr.,Average
USA,Mark Rydell,Drama,Intersection,5.2,Richard Gere,David Rayfiel,Flop
USA,Charles Haid,Adventure,Iron Will,6.5,Mackenzie Astin,John Michael Hayes,Average
USA,Simon Wincer,Comedy,Lightning Jack,5.4,Paul Hogan,Paul Hogan,Flop
USA,Deran Sarafian,Action,Terminal Velocity,5.4,Charlie Sheen,David Twohy,Flop
USA,Ron Howard,Comedy,The Paper,6.6,Michael Keaton,David Koepp,Average
USA,Adam Resnick,Adventure,Cabin Boy,5.1,Chris Elliott,Chris Elliott,Flop
USA,Rory Kelly,Comedy,Sleep with Me,5.7,Craig Sheffer,Duane Dell'Amico,Flop
USA,Glenn Gordon Caron,Comedy,Love Affair,5.9,Warren Beatty,Mildred Cram,Flop
USA,Darnell Martin,Comedy,I Like It Like That,6.8,Luna Lauren Velez,Darnell Martin,Average
USA,Howard Deutch,Comedy,Getting Even with Dad,4.6,Macaulay Culkin,Tom S. Parker,Flop
USA,Peter Markle,Adventure,Wagons East,4.7,John Candy,Matthew Carlson,Flop
USA,Charles Shyer,Action,I Love Trouble,5.2,Nick Nolte,Nancy Meyers,Flop
USA,Eric Meza,Comedy,House Party 3,4.1,Christopher Reid,Reginald Hudlin,Flop
USA,Rodman Flender,Comedy,Leprechaun 2,4.4,Warwick Davis,Mark Jones,Flop
USA,Mike Binder,Comedy,Blankman,4.8,Damon Wayans,Damon Wayans,Flop
USA,Tia Brelis,Comedy,Trading Mom,5.5,Sissy Spacek,Nancy Brelis,Flop
USA,Michael Ritchie,Comedy,The Scout,5.3,Albert Brooks,Roger Angell,Flop
USA,John Sayles,Drama,The Secret of Roan Inish,7.5,Jeni Courtney,Rosalie K. Fry,Hit
USA,Michael Ritchie,Comedy,Cops and Robbersons,5,Chevy Chase,Bernie Somers,Flop
USA,Alan Rudolph,Biography,Mrs. Parker and the Vicious Circle,6.4,Jennifer Jason Leigh,Alan Rudolph,Average
USA,Hugh Wilson,Comedy,Guarding Tess,6.2,Shirley MacLaine,Hugh Wilson,Average
USA,John Bailey,Crime,China Moon,6.2,Ed Harris,Roy Carlson,Average
USA,Paul Michael Glaser,Comedy,The Air Up There,5.5,Kevin Bacon,Max Apple,Flop
USA,Kevin Reynolds,Action,Rapa Nui,6.4,Jason Scott Lee,Kevin Reynolds,Average
USA,George Gallo,Adventure,Trapped in Paradise,5.9,Nicolas Cage,George Gallo,Flop
USA,James Gray,Crime,Little Odessa,6.8,Tim Roth,James Gray,Average
USA,Donald Petrie,Comedy,The Favor,5.3,Harley Jane Kozak,Sara Parriott,Flop
USA,Jefery Levy,Comedy,S.F.W.,5.9,Stephen Dorff,Andrew Wellman,Flop
USA,Ron Underwood,Comedy,Speechless,5.7,Michael Keaton,Robert King,Flop
USA,Ron Shelton,Biography,Cobb,6.5,Tommy Lee Jones,Al Stump,Average
USA,Bob Clark,Comedy,It Runs in the Family,5.7,Charles Grodin,Jean Shepherd,Flop
USA,Daniel Petrie,Family,Lassie,5.9,Helen Slater,Eric Knight,Flop
USA,Gillies MacKinnon,Drama,A Simple Twist of Fate,6.3,Steve Martin,George Eliot,Average
USA,Hal Hartley,Comedy,Amateur,7,Isabelle Huppert,Hal Hartley,Hit
USA,Bruce Beresford,Drama,Silent Fall,5.9,Richard Dreyfuss,Akiva Goldsman,Flop
USA,Whit Stillman,Comedy,Barcelona,7,Taylor Nichols,Whit Stillman,Hit
USA,Floyd Mutrux,Comedy,There Goes My Baby,6.4,Dermot Mulroney,Floyd Mutrux,Average
USA,Ken Olin,Adventure,White Fang 2: Myth of the White Wolf,5.4,Scott Bairstow,David Fallon,Flop
USA,Barry Levinson,Crime,Jimmy Hollywood,5.3,Joe Pesci,Barry Levinson,Flop
USA,James L. Brooks,Comedy,I'll Do Anything,5.6,Nick Nolte,James L. Brooks,Flop
USA,Mel Smith,Comedy,Radioland Murders,6.2,Brian Benben,George Lucas,Average
USA,Gary Jones,Horror,Mosquito,4.6,Gunnar Hansen,Tom Chaney,Flop
USA,Martha Coolidge,Comedy,Angie,5.4,Geena Davis,Avra Wing,Flop
USA,Louis Malle,Comedy,Vanya on 42nd Street,7.5,Wallace Shawn,Anton Chekhov,Hit
USA,Rose Troche,Drama,Go Fish,5.6,V.S. Brodie,Rose Troche,Flop
USA,Bill Fishman,Comedy,"Car 54, Where Are You?",2.4,David Johansen,Nat Hiken,Flop
USA,Kelly Reichardt,Drama,River of Grass,6.5,Lisa Bowman,Jesse Hartman,Average
USA,Michael Almereyda,Drama,Nadja,6,Elina LÃ¶wensohn,Michael Almereyda,Average
USA,Xavier Koller,Adventure,Squanto: A Warrior's Tale,6.1,Adam Beach,Darlene Craviotto,Average
USA,Mick Jackson,Comedy,Clean Slate,5.7,Dana Carvey,Robert King,Flop
USA,Leonard Nimoy,Comedy,Holy Matrimony,5.1,Patricia Arquette,David Weisberg,Flop
USA,David Fincher,Crime,Se7en,8.6,Morgan Freeman,Andrew Kevin Walker,Hit
USA,Joe Johnston,Action,Jumanji,6.9,Robin Williams,Jonathan Hensleigh,Average
USA,Mel Gibson,Biography,Braveheart,8.4,Mel Gibson,Randall Wallace,Hit
USA,Bryan Singer,Crime,The Usual Suspects,8.6,Kevin Spacey,Christopher McQuarrie,Hit
USA,Michael Mann,Action,Heat,8.2,Al Pacino,Michael Mann,Hit
USA,Amy Heckerling,Comedy,Clueless,6.8,Alicia Silverstone,Amy Heckerling,Average
USA,Mike Gabriel,Animation,Pocahontas,6.7,Mel Gibson,Carl Binder,Average
USA,Terry Gilliam,Mystery,Twelve Monkeys,8,Bruce Willis,Chris Marker,Hit
USA,John Lasseter,Animation,Toy Story,8.3,Tom Hanks,John Lasseter,Hit
USA,Joel Schumacher,Action,Batman Forever,5.4,Val Kilmer,Bob Kane,Flop
USA,Larry Clark,Drama,Kids,7,Leo Fitzpatrick,Harmony Korine,Hit
USA,Brad Silberling,Comedy,Casper,6,Bill Pullman,Joseph Oriolo,Average
USA,F. Gary Gray,Comedy,Friday,7.3,Ice Cube,Ice Cube,Hit
USA,Richard Linklater,Drama,Before Sunrise,8.1,Ethan Hawke,Richard Linklater,Hit
USA,Paul W.S. Anderson,Action,Mortal Kombat,5.8,Christopher Lambert,Ed Boon,Flop
USA,Ron Howard,Adventure,Apollo 13,7.6,Tom Hanks,Jim Lovell,Hit
USA,Iain Softley,Comedy,Hackers,6.2,Jonny Lee Miller,Rafael Moreu,Average
USA,Michael Bay,Action,Bad Boys,6.8,Will Smith,George Gallo,Average
USA,John McTiernan,Action,Die Hard with a Vengeance,7.6,Bruce Willis,Jonathan Hensleigh,Hit
USA,Tamra Davis,Comedy,Billy Madison,6.4,Adam Sandler,Tim Herlihy,Average
USA,Kevin Reynolds,Action,Waterworld,6.1,Kevin Costner,Peter Rader,Average
USA,Frank Marshall,Action,Congo,5.1,Laura Linney,Michael Crichton,Flop
USA,Ang Lee,Drama,Sense and Sensibility,7.7,Emma Thompson,Jane Austen,Hit
USA,Barry Sonnenfeld,Comedy,Get Shorty,6.9,Gene Hackman,Elmore Leonard,Average
USA,Rob Reiner,Comedy,The American President,6.8,Michael Douglas,Aaron Sorkin,Average
USA,Rachel Talalay,Action,Tank Girl,5.3,Lori Petty,Alan Martin,Flop
USA,Victor Salva,Drama,Powder,6.6,Mary Steenburgen,Victor Salva,Average
USA,Roger Donaldson,Action,Species,5.8,Natasha Henstridge,Dennis Feldman,Flop
USA,Scott Kalvert,Biography,The Basketball Diaries,7.3,Leonardo DiCaprio,Jim Carroll,Hit
USA,Robert Rodriguez,Action,Desperado,7.2,Antonio Banderas,Robert Rodriguez,Hit
USA,Steven Brill,Comedy,Heavy Weights,6.7,Tom McGowan,Judd Apatow,Average
USA,Allan Moyle,Comedy,Empire Records,6.7,Anthony LaPaglia,Carol Heikkinen,Average
USA,Kathryn Bigelow,Action,Strange Days,7.2,Ralph Fiennes,James Cameron,Hit
USA,Steve Oedekerk,Adventure,Ace Ventura: When Nature Calls,6.3,Jim Carrey,Jack Bernstein,Average
USA,Allison Anders,Comedy,Four Rooms,6.7,Tim Roth,Allison Anders,Average
USA,Jon Turteltaub,Comedy,While You Were Sleeping,6.7,Sandra Bullock,Daniel G. Sullivan,Average
USA,Nick Castle,Adventure,Major Payne,6.2,Damon Wayans,Joe Connelly,Average
USA,Danny Cannon,Action,Judge Dredd,5.5,Sylvester Stallone,John Wagner,Flop
USA,Kevin Lima,Animation,A Goofy Movie,6.8,Bill Farmer,Jymn Magon,Average
USA,John Carpenter,Horror,Village of the Damned,5.6,Christopher Reeve,John Wyndham,Flop
USA,Peter Segal,Adventure,Tommy Boy,7.1,Chris Farley,Bonnie Turner,Hit
USA,Alfonso CuarÃ³n,Drama,A Little Princess,7.7,Liesel Matthews,Frances Hodgson Burnett,Hit
USA,Betty Thomas,Comedy,The Brady Bunch Movie,5.9,Shelley Long,Sherwood Schwartz,Flop
USA,Howard Deutch,Comedy,Grumpier Old Men,6.6,Walter Matthau,Mark Steven Johnson,Average
USA,Beeban Kidron,Comedy,"To Wong Foo Thanks for Everything, Julie Newmar",6.4,Wesley Snipes,Douglas Carter Beane,Average
USA,Lesli Linka Glatter,Comedy,Now and Then,6.8,Christina Ricci,I. Marlene King,Average
USA,Andy Tennant,Comedy,It Takes Two,5.8,Kirstie Alley,Deborah Dean Davis,Flop
USA,Jon Amiel,Drama,Copycat,6.6,Sigourney Weaver,Ann Biderman,Average
USA,Taylor Hackford,Crime,Dolores Claiborne,7.4,Kathy Bates,Stephen King,Hit
USA,Bryan Spicer,Action,Mighty Morphin Power Rangers: The Movie,5.1,Karan Ashley,John Kamps,Flop
USA,Wolfgang Petersen,Action,Outbreak,6.6,Dustin Hoffman,Laurence Dworet,Average
USA,Jim Jarmusch,Drama,Dead Man,7.7,Johnny Depp,Jim Jarmusch,Hit
USA,Tony Scott,Action,Crimson Tide,7.3,Gene Hackman,Michael Schiffer,Hit
USA,Clint Eastwood,Drama,The Bridges of Madison County,7.6,Clint Eastwood,Richard LaGravenese,Hit
USA,John N. Smith,Biography,Dangerous Minds,6.4,Michelle Pfeiffer,LouAnne Johnson,Average
USA,Gus Van Sant,Comedy,To Die For,6.8,Nicole Kidman,Joyce Maynard,Average
USA,Noah Baumbach,Comedy,Kicking and Screaming,7,Josh Hamilton,Noah Baumbach,Hit
USA,Kevin Smith,Comedy,Mallrats,7.2,Shannen Doherty,Kevin Smith,Hit
USA,Joe Chappelle,Horror,Halloween: The Curse of Michael Myers,5,Donald Pleasence,Debra Hill,Flop
USA,Geoff Murphy,Action,Under Siege 2: Dark Territory,5.4,Steven Seagal,Richard Hatem,Flop
USA,John Singleton,Crime,Higher Learning,6.5,Omar Epps,John Singleton,Average
USA,Alfonso Arau,Drama,A Walk in the Clouds,6.7,Keanu Reeves,Robert Mark Kamen,Average
USA,Woody Allen,Comedy,Mighty Aphrodite,7.1,Woody Allen,Woody Allen,Hit
